case_id,type,candidate_count,parse_success_count,baseline_exact,oracle_exact,baseline_node_f1,oracle_node_f1,baseline_edge_f1,oracle_edge_f1,baseline_arg_value_f1,oracle_arg_value_f1,baseline_quality_score,oracle_quality_score,quality_gain_vs_baseline,node_gain_vs_baseline,edge_gain_vs_baseline,oracle_best_family,oracle_best_variant,unique_workflow_count,unique_structure_count,unique_node_sequence_count,unique_edge_pattern_count,mean_pairwise_structure_distance,candidates_equal_baseline,structures_equal_baseline,baseline_nodes,oracle_nodes
26103736,single,5,5,True,True,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Text Grammar Checker,Text Grammar Checker
26171658,single,5,5,False,False,1.0,1.0,,,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Text Expander,Text Expander
27258164,dag,5,5,False,True,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.537037037037037,1.0,0.462962962962963,0.0,0.0,minimal,minimal,1,1,1,1,0.0,0,5,Voice Changer -> Audio Noise Reduction -> Audio-to-Image -> Image-to-Video,Voice Changer -> Audio Noise Reduction -> Audio-to-Image -> Image-to-Video
27780863,chain,5,5,False,False,1.0,1.0,1.0,1.0,0.75,0.75,0.5277777777777778,0.5277777777777778,0.0,0.0,0.0,action_coverage,action_coverage,2,2,1,2,0.19999999999999998,2,2,Text Translator -> Video Search -> Video Synchronization,Text Translator -> Video Search -> Video Synchronization
28095039,chain,5,5,False,False,0.8333333333333334,0.7692307692307692,0.20000000000000004,0.1818181818181818,0.42857142857142855,0.39999999999999997,0.27724867724867724,0.2557886557886558,-0.02146002146002146,-0.06410256410256421,-0.018181818181818243,parallel_dag,parallel_dag,3,3,2,2,0.14285714285714285,0,0,Audio Downloader -> Text Simplifier -> Video Voiceover -> Video-to-Audio -> Audio-to-Text -> URL Extractor,Audio Downloader -> Text Simplifier -> Audio-to-Text -> Video Voiceover -> Video-to-Audio -> Audio-to-Text -> URL Extractor
28319577,chain,5,5,False,False,0.25,0.25,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Text Downloader -> Text Grammar Checker -> Topic Generator -> Image Search,Text Downloader -> Text Grammar Checker -> Topic Generator -> Image Search
29292224,chain,5,5,False,False,0.9090909090909091,0.9090909090909091,0.28571428571428575,0.28571428571428575,0.3636363636363636,0.3636363636363636,0.3059163059163059,0.3059163059163059,0.0,0.0,0.0,typed_dependency,typed_dependency,3,3,2,3,0.26,1,1,Text Summarizer -> Text Sentiment Analysis -> Keyword Extractor -> Text Simplifier -> Topic Generator,Text Summarizer -> Text Sentiment Analysis -> Keyword Extractor -> Text Simplifier -> Topic Generator
30872064,single,5,5,False,False,1.0,1.0,,,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,,minimal,minimal,2,2,2,2,0.2,4,4,Audio-to-Image,Audio-to-Image
30934207,single,5,5,True,True,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Image Stitcher,Image Stitcher
31310133,single,5,5,False,False,0.0,1.0,,,0.0,0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,1.0,,minimal,minimal,3,3,3,3,0.6,0,1,Text-to-Image -> Image-to-Video,Text-to-Video
31664374,dag,5,5,False,False,0.6666666666666666,0.5714285714285715,0.5,0.4,0.5,0.4444444444444445,0.31481481481481477,0.26525573192239865,-0.04955908289241612,-0.09523809523809512,-0.09999999999999998,action_coverage,action_coverage,2,2,1,2,0.2,0,0,Text Paraphraser -> Text Summarizer -> Video Speed Changer,Text Paraphraser -> Text Summarizer -> Video-to-Audio -> Audio Speed Changer
31733796,single,5,2,True,False,1.0,0.6666666666666666,,,1.0,0.5,1.0,0.4259259259259259,-0.5740740740740742,-0.33333333333333337,,action_coverage,action_coverage,2,2,2,2,0.6,0,0,Audio-to-Text,Audio-to-Text -> Text-to-File
31893844,chain,5,5,False,False,0.888888888888889,0.888888888888889,0.8571428571428571,0.8571428571428571,0.7272727272727272,0.7272727272727272,0.4688151354818022,0.4688151354818022,0.0,0.0,0.0,minimal,minimal,2,2,2,2,0.3,2,2,Text Translator -> URL Extractor -> Audio Downloader -> Audio Effects,Text Translator -> URL Extractor -> Audio Downloader -> Audio Effects
36690562,dag,5,5,False,False,1.0,1.0,0.75,0.75,0.8571428571428571,0.8571428571428571,0.4841269841269841,0.4841269841269841,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Video-to-Audio -> Audio Splicer -> Audio-to-Text -> Audio Effects -> Audio-to-Image,Video-to-Audio -> Audio Splicer -> Audio-to-Text -> Audio Effects -> Audio-to-Image
40313104,single,5,5,True,True,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Video Stabilizer,Video Stabilizer
46051366,chain,5,5,False,False,0.5714285714285715,0.5714285714285715,0.33333333333333337,0.33333333333333337,0.25,0.25,0.22883597883597886,0.22883597883597886,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Topic Generator -> Image Search,Topic Generator -> Image Search
51891536,chain,5,5,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Image-to-Text -> Text Grammar Checker -> Text Paraphraser -> Text Summarizer,Image-to-Text -> Text Grammar Checker -> Text Paraphraser -> Text Summarizer
60932031,chain,5,5,False,False,0.5,0.888888888888889,,,0.0,0.0,0.3333333333333333,0.41975308641975306,0.08641975308641975,0.38888888888888895,,action_coverage,action_coverage,3,3,3,2,0.325,0,0,Audio-to-Text -> Text Simplifier -> Text-to-Audio,Audio-to-Text -> Text Expander -> Text Grammar Checker -> Text-to-Audio
87050118,single,5,5,False,False,1.0,1.0,,,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Text Summarizer,Text Summarizer
88388827,chain,5,5,False,False,0.8,0.8,0.6666666666666666,0.6666666666666666,0.5714285714285715,0.5714285714285715,0.38941798941798944,0.38941798941798944,0.0,0.0,0.0,minimal,minimal,3,1,1,1,0.0,3,5,Audio Effects -> Audio-to-Image,Audio Effects -> Audio-to-Image
96133316,single,5,2,False,False,1.0,1.0,,,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,,parallel_dag,parallel_dag,3,3,3,2,0.7,0,1,Image Search,Image Search
